State,Month,Date,Month_Number,Domestic Tourists,Foreign Tourists,Total Tourists,Tourism Revenue (INR Crore),Revenue_Per_Tourist_INR,Domestic_Spend_Per_Person_Crore,Foreign_Spend_Per_Person_Crore,Est_Domestic_Revenue_Crore,Est_Foreign_Revenue_Crore,Domestic_Revenue_Percent,Foreign_Revenue_Percent,Annual_Avg_Revenue,Seasonality_Index,Seasonality_Ratio,Purpose of Visit,Growth % (Approx.)
Andaman & Nicobar Islands,January,2025-01-01,1,2539148,68865,2608013,53.89,206.6324055900028,1.9146538345659503e-05,7.658615338263801e-05,48.615894547304634,5.274105452695367,90.21320198052446,9.786798019475537,38.975,38.26812059012187,1.3826812059012188,Adventure,6.38
Andaman & Nicobar Islands,February,2025-02-01,2,4187930,44980,4232910,101.25,239.19714806126282,2.3180741096878328e-05,9.272296438751331e-05,97.07932106184965,4.170678938150349,95.88081092528361,4.119189074716394,38.975,159.78191148171905,2.5978191148171903,Business,6.33
Andaman & Nicobar Islands,March,2025-03-01,3,149336,99155,248491,5.73,230.59185242121447,1.049535127372902e-05,4.198140509491608e-05,1.5673337778135967,4.162666222186403,27.353120031650903,72.64687996834908,38.975,-85.29826812059012,0.1470173187940988,Religious,-4.56
Andaman & Nicobar Islands,April,2025-04-01,4,473311,19820,493131,4.92,99.77064917841304,8.903510914944326e-06,3.5614043659777306e-05,4.214129654663214,0.7058703453367862,85.65304176144744,14.346958238552565,38.975,-87.37652341244387,0.12623476587556126,Medical,-1.42
Andaman & Nicobar Islands,May,2025-05-01,5,2475117,35517,2510634,15.32,61.02044344177606,5.853617531813762e-06,2.3414470127255047e-05,14.488388264490283,0.8316117355097176,94.57172496403578,5.428275035964214,38.975,-60.69275176395125,0.3930724823604875,Business,7.81
Andaman & Nicobar Islands,June,2025-06-01,6,2512425,191802,2704227,57.36,212.11237074402408,1.7489761811763695e-05,6.995904724705478e-05,43.9417148199204,13.4182851800796,76.6068947348682,23.3931052651318,38.975,47.17126363053239,1.471712636305324,Leisure,-1.45
Andaman & Nicobar Islands,July,2025-07-01,7,4243773,42897,4286670,29.1,67.88486167584628,6.590627584018612e-06,2.6362510336074448e-05,27.969127394113418,1.1308726058865857,96.11383984231414,3.886160157685861,38.975,-25.336754329698525,0.7466324567030148,Leisure,-3.04
Andaman & Nicobar Islands,August,2025-08-01,8,3092177,165625,3257802,51.66,158.57317295526246,1.3758839974783449e-05,5.5035359899133794e-05,42.54476851670596,9.115231483294036,82.35533975359265,17.644660246407348,38.975,32.54650416933931,1.325465041693393,Leisure,4.73
Andaman & Nicobar Islands,September,2025-09-01,9,4162093,167741,4329834,62.61,144.60138656585912,1.2954533745412065e-05,5.181813498164826e-05,53.917974220043334,8.69202577995666,86.11719249328115,13.88280750671883,38.975,60.64143681847337,1.6064143681847338,Leisure,14.07
Andaman & Nicobar Islands,October,2025-10-01,10,4060177,33775,4093952,24.32,59.40470235117559,5.796995049432969e-06,2.3187980197731877e-05,23.536825968821606,0.7831740311783941,96.779712042852,3.220287957148002,38.975,-37.60102629890956,0.6239897370109044,Adventure,6.78
